DATA;REG_ANS;CD_CONTA_CONTABIL;DESCRICAO;VL_SALDO_INICIAL;VL_SALDO_FINAL;trimestre;ano
2023-01-01;360783;124129019;(-) Provisão para Perdas Sobre Créditos;0.0;0.0;1T;2023
2023-01-01;360783;12412902;Intercâmbio a Receber - Atendimento Eventual;0.0;0.0;1T;2023
2023-01-01;360783;124129021;Taxa de Administração;0.0;0.0;1T;2023
2023-01-01;360783;124129022;Reembolso;0.0;0.0;1T;2023
2023-01-01;360783;124129029;(-) Provisão para Perdas Sobre Créditos;0.0;0.0;1T;2023
2023-01-01;360783;12412908;Outros Créditos Operacionais de Prestação de Serviço Odontológico;0.0;0.0;1T;2023
2023-01-01;360783;124129082;Créditos com Administração de Programas ou Fundos de Custeio de Despesas Odontológica;0.0;0.0;1T;2023
2023-01-01;360783;124129088;Outros Créditos Operacionais de Prestação de Serviço Odontológico;0.0;0.0;1T;2023
2023-01-01;360783;124129089;(-) Provisão para Perdas Sobre Créditos;0.0;0.0;1T;2023
2023-01-01;360783;125;DESPESAS DIFERIDAS;0.0;0.0;1T;2023
2023-01-01;360783;1251;COMISSÕES DIFERIDAS COM OPERAÇÕES DE ASSISTÊNCIA A SAÚDE;0.0;0.0;1T;2023
2023-01-01;360783;12511;COMISSÕES/AGENCIAMENTOS DIFERIDOS COM PLANOS DE ASSISTÊNCIA MÉDICO-HOSPITALAR;0.0;0.0;1T;2023
2023-01-01;360783;125119;Comissões/Agenciamentos Diferidos com Planos de Assistência Médico-Hospitalar;0.0;0.0;1T;2023
2023-01-01;360783;12511901;Comissões/Agenciamentos Diferidos com Planos de Assistência Médico-Hospitalar;0.0;0.0;1T;2023
2023-01-01;360783;125119011;Comissões/Agenciamentos Diferidos - Contraprestações Pecuniárias;0.0;0.0;1T;2023
2023-01-01;360783;12511902;Comissões/Agenciamentos Diferidos - Seguros;0.0;0.0;1T;2023
2023-01-01;360783;125119021;Comissão/Agenciamentos de Seguros;0.0;0.0;1T;2023
2023-01-01;360783;125119022;Comissão/Agenciamentos de Cosseguro Aceito;0.0;0.0;1T;2023
2023-01-01;360783;12512;COMISSÕES/AGENCIAMENTOS DIFERIDOS COM PLANOS DE ASSISTÊNCIA ODONTOLÓGICA;0.0;0.0;1T;2023
2023-01-01;360783;125129;Comissões/Agenciamentos Diferidos com Planos de Assistência Odontológica;0.0;0.0;1T;2023
2023-01-01;360783;12512901;Comissões/Agenciamentos Diferidos com Planos de Assistência Odontológica;0.0;0.0;1T;2023
2023-01-01;360783;125129011;Comissões/Agenciamentos Diferidos - Contraprestações Pecuniárias;0.0;0.0;1T;2023
2023-01-01;360783;12512902;Comissões/Agenciamentos Diferidos - Seguros;0.0;0.0;1T;2023
2023-01-01;360783;125129021;Comissão/Agenciamentos de Seguros;0.0;0.0;1T;2023
2023-01-01;360783;125129022;Comissão/Agenciamentos de Cosseguro Aceito;0.0;0.0;1T;2023
2023-01-01;360783;1252;DESPESAS DE RESSEGURO DIFERIDAS;0.0;0.0;1T;2023
2023-01-01;360783;12521;PRÊMIO DE RESSEGURO DIFERIDO COM PLANOS DE ASSISTÊNCIA MÉDICO-HOSPITALAR;0.0;0.0;1T;2023
2023-01-01;360783;125219;Prêmio de Resseguro Diferido com Planos de Assistência Médico-Hospitalar;0.0;0.0;1T;2023
2023-01-01;360783;12521901;Prêmio de Resseguro Diferido com Planos de Assistência Médico-Hospitalar;0.0;0.0;1T;2023
2023-01-01;360783;125219011;Prêmio de Resseguro Diferido;0.0;0.0;1T;2023
2023-01-01;360783;12522;PRÊMIO DE RESSEGURO DIFERIDO COM PLANOS DE ASSISTÊNCIA ODONTOLÓGICO;0.0;0.0;1T;2023
2023-01-01;360783;125229;Prêmio de Resseguro Diferido com Planos de Assistência Odontológico;0.0;0.0;1T;2023
2023-01-01;360783;12522901;Prêmio de Resseguro Diferido com Planos de Assistência Odontológico;0.0;0.0;1T;2023
2023-01-01;360783;125229011;Prêmio de Resseguro Diferido;0.0;0.0;1T;2023
2023-01-01;360783;126;CRÉDITOS TRIBUTÁRIOS E PREVIDÊNCIÁRIOS;0.0;0.0;1T;2023
2023-01-01;360783;1261;CRÉDITOS TRIBUTÁRIOS E PREVIDÊNCIARIOS;0.0;0.0;1T;2023
2023-01-01;360783;12611;CRÉDITOS TRIBUTÁRIOS;0.0;0.0;1T;2023
2023-01-01;360783;126119;Créditos Tributários;0.0;0.0;1T;2023
2023-01-01;360783;12611901;Imposto de Renda;0.0;0.0;1T;2023
2023-01-01;360783;126119011;Imposto de Renda Retido na Fonte - IRRF;0.0;0.0;1T;2023
2023-01-01;360783;126119012;Imposto de Renda a Compensar/Restituir;0.0;0.0;1T;2023
2023-01-01;360783;126119013;Antecipações de Imposto de Renda;0.0;0.0;1T;2023
2023-01-01;360783;12611902;Contribuição Social Sobre o Lucro Liquido - CSLL;0.0;0.0;1T;2023
2023-01-01;360783;126119021;Contribuição Social Retida na Fonte;0.0;0.0;1T;2023
2023-01-01;360783;126119022;Contribuição Social a Compensar/Restituir;0.0;0.0;1T;2023
2023-01-01;360783;126119023;Antecipações da Contribuição Social;0.0;0.0;1T;2023
2023-01-01;360783;12611903;Crédito de Previdência Social;0.0;0.0;1T;2023
2023-01-01;360783;126119031;Crédito de Previdência Social;0.0;0.0;1T;2023
2023-01-01;360783;12611904;Créditos de PIS e COFINS;0.0;0.0;1T;2023
2023-01-01;360783;126119041;Créditos de PIS e COFINS;0.0;0.0;1T;2023
2023-01-01;360783;12611905;Imposto Sobre Serviços - ISS;0.0;0.0;1T;2023
2023-01-01;360783;126119051;Imposto Sobre Serviços - ISS;0.0;0.0;1T;2023
2023-01-01;360783;12611908;Outros Créditos Tributários e Previdenciários;0.0;0.0;1T;2023
2023-01-01;360783;126119088;Outros Créditos Tributários e Previdenciários;0.0;0.0;1T;2023
2023-01-01;360783;127;BENS E TÍTULOS A RECEBER;61751.58;36388.97;1T;2023
2023-01-01;360783;1271;ESTOQUE;0.0;0.0;1T;2023
2023-01-01;360783;12711;ESTOQUE;0.0;0.0;1T;2023
2023-01-01;360783;127119;Estoques;0.0;0.0;1T;2023
2023-01-01;360783;12711901;Estoques;0.0;0.0;1T;2023
2023-01-01;360783;127119011;Estoques;0.0;0.0;1T;2023
2023-01-01;360783;127119012;Almoxarifado;0.0;0.0;1T;2023
2023-01-01;360783;1272;BENS A VENDA;0.0;0.0;1T;2023
2023-01-01;360783;12721;BENS A VENDA;0.0;0.0;1T;2023
2023-01-01;360783;127219;Bens a Venda;0.0;0.0;1T;2023
2023-01-01;360783;12721901;Bens a Venda;0.0;0.0;1T;2023
2023-01-01;360783;127219011;Imóveis a Venda;0.0;0.0;1T;2023
2023-01-01;360783;127219012;Outros Bens a Venda;0.0;0.0;1T;2023
2023-01-01;360783;1273;DEPENDÊNCIAS NO PAÍS;0.0;0.0;1T;2023
2023-01-01;360783;12731;DEPENDÊNCIAS NO PAÍS;0.0;0.0;1T;2023
2023-01-01;360783;127319;Dependências no País;0.0;0.0;1T;2023
2023-01-01;360783;12731901;Dependências no País;0.0;0.0;1T;2023
2023-01-01;360783;127319011;Dependências no País;0.0;0.0;1T;2023
2023-01-01;360783;1274;ADIANTAMENTOS;61751.58;36388.97;1T;2023
2023-01-01;360783;12741;ADIANTAMENTOS;61751.58;36388.97;1T;2023
2023-01-01;360783;127419;Adiantamentos;61751.58;36388.97;1T;2023
2023-01-01;360783;12741901;Adiantamentos;61751.58;36388.97;1T;2023
2023-01-01;360783;127419011;Adiantamentos a Funcionários;32751.58;10388.97;1T;2023
2023-01-01;360783;127419012;Adiantamentos a Prestadores de Serviços Assistenciais;0.0;0.0;1T;2023
2023-01-01;360783;127419013;Adiantamentos a Fornecedores;0.0;0.0;1T;2023
2023-01-01;360783;127419018;Outros Adiantamentos;29000.0;26000.0;1T;2023
2023-01-01;360783;127419019;(-) Provisão para Perdas Sobre Créditos;0.0;0.0;1T;2023
2023-01-01;360783;1276;EMPRÉSTIMOS E DEPÓSITOS COMPULSÓRIOS;0.0;0.0;1T;2023
2023-01-01;360783;12761;EMPRÉSTIMOS E DEPÓSITOS COMPULSÓRIOS;0.0;0.0;1T;2023
2023-01-01;360783;127619;Empréstimos e Depósitos Compulsórios;0.0;0.0;1T;2023
2023-01-01;360783;12761901;Empréstimos e Depósitos Compulsórios;0.0;0.0;1T;2023
2023-01-01;360783;127619011;Empréstimos;0.0;0.0;1T;2023
2023-01-01;360783;127619012;Depósitos;0.0;0.0;1T;2023
2023-01-01;360783;127619019;(-) Provisão para Perdas Sobre Créditos;0.0;0.0;1T;2023
2023-01-01;360783;1277;TÍTULOS A RECEBER;0.0;0.0;1T;2023
2023-01-01;360783;12771;TÍTULOS A RECEBER;0.0;0.0;1T;2023
2023-01-01;360783;127719;Títulos a Receber;0.0;0.0;1T;2023
2023-01-01;360783;12771901;Títulos a Receber;0.0;0.0;1T;2023
2023-01-01;360783;127719011;Notas Promissórias;0.0;0.0;1T;2023
2023-01-01;360783;127719012;Cheques e Ordens a Receber;0.0;0.0;1T;2023
2023-01-01;360783;127719018;Outros Títulos a Receber;0.0;0.0;1T;2023
2023-01-01;360783;127719019;(-) Provisão para Perdas Sobre Créditos;0.0;0.0;1T;2023
2023-01-01;360783;12772;DIREITOS RESULTANTES DA VENDA DE CARTEIRAS;0.0;0.0;1T;2023
2023-01-01;360783;127729;Direitos Resultantes da Venda de Carteira;0.0;0.0;1T;2023
2023-01-01;360783;12772901;Direitos Resultantes da Venda de Carteira;0.0;0.0;1T;2023
2023-01-01;360783;127729011;Direitos Resultantes da Venda de Carteira de Beneficiários de Planos de Saúde;0.0;0.0;1T;2023
2023-01-01;360783;127729019;(-) Provisão para Perdas Sobre Créditos;0.0;0.0;1T;2023
2023-01-01;360783;44131902;Despesas com Aquisição de Carteiras;0.0;0.0;1T;2023
2023-01-01;360783;441319021;Gastos com Aquisição de Carteiras;0.0;0.0;1T;2023
2023-01-01;360783;441319022;Amortização com Aquisição de Carteiras;0.0;0.0;1T;2023
2023-01-01;360783;441319023;Provisão para Redução ao Valor Recuperável do Ativo relacionado a Aquisição de Carteiras;0.0;0.0;1T;2023
2023-01-01;360783;44131903;Programas ou Fundos para Custeio de Despesas Médico Hospitalres;0.0;0.0;1T;2023
2023-01-01;360783;441319031;Taxa de Administração;0.0;0.0;1T;2023
2023-01-01;360783;44131904;Despesas Judiciais de Eventos/Sinistros Médico-Hospitalares;0.0;0.0;1T;2023
2023-01-01;360783;441319041;Despesas com Eventos/Sinistros não cobertos;0.0;0.0;1T;2023
2023-01-01;360783;441319042;Despesas com Provisão para Contingências;0.0;0.0;1T;2023
2023-01-01;360783;441319043;(-) Reversão de Provisão para Contingências;0.0;0.0;1T;2023
2023-01-01;360783;44132;OUTRAS DESPESAS DE OPERAÇÕES DE ASSISTÊNCIA ODONTOLÓGICA;0.0;0.0;1T;2023
2023-01-01;360783;441329;Outras Despesas de Operações de Assistência Odontológica;0.0;0.0;1T;2023
2023-01-01;360783;44132901;Outras Despesas de Operações de Assistência Odontológica;0.0;0.0;1T;2023
2023-01-01;360783;441329011;Confecção de Carteiras/Livro de Credenciamento;0.0;0.0;1T;2023
2023-01-01;360783;441329012;Despesas com Cobrança;0.0;0.0;1T;2023
2023-01-01;360783;441329013;Despesas com Encargos Sociais;0.0;0.0;1T;2023
2023-01-01;360783;441329014;Despesas com Apólices e Contratos;0.0;0.0;1T;2023
2023-01-01;360783;441329015;Despesas com Inspeção de Riscos;0.0;0.0;1T;2023
2023-01-01;360783;441329017;Despesas com Serviços Prestados por Terceiros;0.0;0.0;1T;2023
2023-01-01;360783;441329018;Despesas com Taxa de Administração - Administradora de Benefícios;0.0;0.0;1T;2023
2023-01-01;360783;441329019;Outras Despesas;0.0;0.0;1T;2023
2023-01-01;360783;44132902;Despesas com Aquisição de Carteiras;0.0;0.0;1T;2023
2023-01-01;360783;441329021;Gastos com Aquisição de Carteiras;0.0;0.0;1T;2023
2023-01-01;360783;441329022;Amortização com Aquisição de Carteiras;0.0;0.0;1T;2023
2023-01-01;360783;441329023;Provisão para Redução ao Valor Recuperável do Ativo relacionado a Aquisição de Carteiras;0.0;0.0;1T;2023
2023-01-01;360783;44132903;Programas ou Fundos para Custeio de Despesas Odontológicas;0.0;0.0;1T;2023
2023-01-01;360783;441329031;Taxa de Administração;0.0;0.0;1T;2023
2023-01-01;360783;44132904;Despesas Judiciais de Eventos/Sinistros Odontológicos;0.0;0.0;1T;2023
2023-01-01;360783;441329041;Despesas com Eventos/Sinistros não cobertos;0.0;0.0;1T;2023
2023-01-01;360783;441329042;Despesas com Provisão para Contingências;0.0;0.0;1T;2023
2023-01-01;360783;441329043;(-) Reversão de Provisão para Contingências;0.0;0.0;1T;2023
2023-01-01;360783;4415;PROGRAMAS REGULATÓRIOS DE ATENÇÃO À SAÚDE;0.0;0.0;1T;2023
2023-01-01;360783;44151;PROGRAMAS DE PROMOÇÃO DA SAÚDE E PREVENÇÃO DE RISCOS E DOENÇAS;0.0;0.0;1T;2023
2023-01-01;360783;441519;Programas de Promoção da Saúde e Prevenção de Riscos e Doenças;0.0;0.0;1T;2023
2023-01-01;360783;44151901;Programas de Promoção da Saúde e Prevenção de Riscos e Doenças;0.0;0.0;1T;2023
2023-01-01;360783;441519011;Despesas com Programa de Promoção da Saúde e Prevenção de Riscos e Doenças - Aprovadas pela DIPRO;0.0;0.0;1T;2023
2023-01-01;360783;441519012;Despesas com Programa de Promoção da Saúde e Prevenção de Riscos e Doenças - Não aprovadas pela DIPRO;0.0;0.0;1T;2023
2023-01-01;360783;44152;PROGRAMAS DE BOAS PRÁTICAS EM ATENÇÃO À SAÚDE;0.0;0.0;1T;2023
2023-01-01;360783;441529;Programas de Boas Práticas em Atenção à Saúde;0.0;0.0;1T;2023
2023-01-01;360783;44152901;Programas de Boas Práticas em Atenção à Saúde;0.0;0.0;1T;2023
2023-01-01;360783;441529011;Despesas com Programa de Boas Práticas em Atenção à Saúde  - Aprovados pela DIDES;0.0;0.0;1T;2023
2023-01-01;360783;441529012;Despesas com Programa de Boas Práticas em Atenção à Saúde  - Não Aprovados pela DIDES;0.0;0.0;1T;2023
2023-01-01;360783;4416;(-) RECUPERAÇÃO DE OUTRAS DESPESAS OPERACIONAIS DE ASSISTÊNCIA A SAÚDE;0.0;0.0;1T;2023
2023-01-01;360783;44161;(-) RECUPERAÇÃO DE OUTRAS DESPESAS OPERACIONAIS DE ASSISTÊNCIA MÉDICO-HOSPITALAR;0.0;0.0;1T;2023
2023-01-01;360783;441619;(-) Recuperação de Outras Despesas Operacionais de Assistência Médico-Hospitalar;0.0;0.0;1T;2023
2023-01-01;360783;44161901;(-) Recuperação de Outras Despesas Operacionais de Assistência Médico-Hospitalar;0.0;0.0;1T;2023
2023-01-01;360783;441619011;(-) Impostos sobre Faturamento;0.0;0.0;1T;2023
2023-01-01;360783;441619019;(-) Outras;0.0;0.0;1T;2023
2023-01-01;360783;44162;(-) RECUPERAÇÃO DE OUTRAS DESPESAS OPERACIONAIS DE ASSISTÊNCIA ODONTOLÓGICA;0.0;0.0;1T;2023
2023-01-01;360783;441629;(-) Recuperação de Outras Despesas Operacionais de Assistência Odontológica;0.0;0.0;1T;2023
2023-01-01;360783;44162901;(-) Recuperação de Outras Despesas Operacionais de Assistência Odontológica;0.0;0.0;1T;2023
2023-01-01;360783;441629011;(-) Impostos sobre Faturamento;0.0;0.0;1T;2023
2023-01-01;360783;441629019;(-) Outras;0.0;0.0;1T;2023
2023-01-01;360783;4419;PROVISÃO PARA PERDAS SOBRE CRÉDITOS;0.0;3004.0;1T;2023
2023-01-01;360783;44191;PROVISÃO PARA PERDAS SOBRE CRÉDITOS - MÉDICO HOSPITALAR;0.0;3004.0;1T;2023
2023-01-01;360783;441919;Provisão para Perdas sobre Créditos - Médico Hospitalar;0.0;3004.0;1T;2023
2023-01-01;360783;44191901;Provisão Sobre Contraprestação Pecuniárias/Prêmios a Receber de Assistência Médico-Hospitalar;0.0;3004.0;1T;2023
2023-01-01;360783;441919011;Provisão Sobre Contraprest. Pecuniárias/Prêmios a Receber de Assist. Méd-Hospitalar;0.0;0.0;1T;2023
2023-01-01;360783;441919019;(-) Reversão da Prov. Sobre Contraprest. Pecuniárias/Prêmios a Receber de Assist. Méd-Hospitalar;0.0;3004.0;1T;2023
2023-01-01;360783;44191902;Provisão Sobre Demais Créditos de Operações de Assistência Médico-Hospitalar;0.0;0.0;1T;2023
2023-01-01;360783;441919021;Provisão Sobre Demais Créditos de Operações de Assist. Méd-Hospitalar;0.0;0.0;1T;2023
2023-01-01;360783;441919029;(-) reversão da Provisão Sobre Demais Créditos de Operações de Assist. Méd-Hospitalar;0.0;0.0;1T;2023
2023-01-01;360783;44191903;Provisão Sobre Outros Créditos de Administradora de Benefícios Médico-Hospitalar;0.0;0.0;1T;2023
2023-01-01;360783;441919031;Provisão Sobre Outros Créditos de Administradora de Benefícios;0.0;0.0;1T;2023
2023-01-01;360783;441919039;(-) Reversão da Provisão Sobre Outros Créditos de Administradora de Benefícios;0.0;0.0;1T;2023
2023-01-01;360783;44191905;Provisão Sobre Taxa de Administração de Benefícios a Receber;0.0;0.0;1T;2023
2023-01-01;360783;441919051;Provisão Sobre Taxa de Administração de Benefícios a Receber;0.0;0.0;1T;2023
2023-01-01;360783;441919059;(-) Reversão da Provisão Sobre Taxa de Administração de Benefícios a Receber;0.0;0.0;1T;2023
2023-01-01;360783;44192;PROVISÃO PARA PERDAS SOBRE CRÉDITOS - ODONTOLÓGICO;0.0;0.0;1T;2023
2023-01-01;360783;441929;Provisão Para Perdas sobre Créditos - Odontolológico;0.0;0.0;1T;2023
2023-01-01;360783;44192901;Provisão Sobre Contraprestação Pecuniárias/Prêmios a Receber de Assistência Odontológica;0.0;0.0;1T;2023
2023-01-01;360783;441929011;Provisão Sobre Contraprest. Pecuniárias/Prêmios a Receber de Assist. Odontológica;0.0;0.0;1T;2023
2023-01-01;360783;441929019;(-) Reversão da Prov. Sobre Contraprest. Pecuniárias/Prêmios a Receber de Assist. Odontológica;0.0;0.0;1T;2023
2023-01-01;360783;44192902;Provisão Sobre Demais Créditos de Operações de Assistência Odontológica;0.0;0.0;1T;2023
2023-01-01;360783;441929021;Provisão Sobre Demais Créditos de Operações de Assistência Odontológica;0.0;0.0;1T;2023
2023-01-01;360783;441929029;(-) Reversão da Provisão Sobre Demais Créditos de Operações de Assist. Odontológica;0.0;0.0;1T;2023
2023-01-01;360783;44192903;Provisão Sobre Outros Créditos de Administradora de Benefícios - Assistência Odontológica;0.0;0.0;1T;2023
2023-01-01;360783;441929031;Provisão Sobre Outros Créditos de Administradora de Benefícios;0.0;0.0;1T;2023
2023-01-01;360783;441929039;(-) Reversão da Provisão Sobre Outros Créditos de Administradora de Benefícios;0.0;0.0;1T;2023
2023-01-01;360783;44192905;Provisão Sobre Taxa de Administração de Benefícios a Receber;0.0;0.0;1T;2023
2023-01-01;360783;441929051;Provisão Sobre Taxa de Administração de Benefícios a Receber;0.0;0.0;1T;2023
2023-01-01;360783;441929059;(-) Reversão da Provisão Sobre Taxa de Administração de Benefícios a Receber;0.0;0.0;1T;2023
2023-01-01;360783;442;OUTRAS DESPESAS OPERACIONAIS DE ASSISTÊNCIA À SAÚDE NÃO RELACIONADAS COM PLANO DE SAÚDE DA OPERADORA;0.0;134637.39;1T;2023
2023-01-01;360783;4421;DESPESAS COM OPERAÇÕES DE ASSISTÊNCIA A SAÚDE;0.0;134637.39;1T;2023
2023-01-01;360783;44211;DESPESAS COM OPERAÇÕES DE ASSISTÊNCIA MÉDICO-HOSPITALAR;0.0;134637.39;1T;2023
2023-01-01;360783;442119;Despesas com Prestação de Serviços;0.0;134637.39;1T;2023
2023-01-01;360783;44211901;Despesas com Prestação de Serviços;0.0;134637.39;1T;2023
2023-01-01;360783;442119011;Despesas com Prestação de Serviços - SUS;0.0;0.0;1T;2023
2023-01-01;360783;442119012;Despesas com Prestação de Serviços - Hospitalar;0.0;0.0;1T;2023
2023-01-01;360783;442119013;Despesas com Prestação de Serviços - Ambulatorial;0.0;0.0;1T;2023
2023-01-01;360783;442119014;Despesas com Prestação de Serviços - Diagnósticos;0.0;0.0;1T;2023
2023-01-01;360783;442119015;Custo de ociosidade rede própria;0.0;0.0;1T;2023
2023-01-01;360783;442119019;Despesas com Prestação de Serviços - Outros;0.0;134637.39;1T;2023
2023-01-01;360783;44211902;(-) Dedução de Despesas com Prestação de Serviços;0.0;0.0;1T;2023
2023-01-01;360783;442119021;(-) Dedução de Despesas com Prestação de Serviços - SUS;0.0;0.0;1T;2023
2023-01-01;360783;442119029;(-) Dedução de Despesas com Prestação de Serviços - Outros;0.0;0.0;1T;2023
2023-01-01;360783;44211903;Provisão Sobre Créditos de Operações de Assistência Médico-Hospitalar Não Relacionadas com Plano de Saúde;0.0;0.0;1T;2023
2023-01-01;360783;442119031;Provisão Sobre Créditos de Operações  de Assistência Não Relacionadas com Plano de.Saúde;0.0;0.0;1T;2023
2023-01-01;360783;442119039;(-) Reversão da Provisão Sobre Créditos de Oper. Assist. Não Relacionadas com Plano de Saúde;0.0;0.0;1T;2023
2023-01-01;360783;44212;DESPESAS COM PRESTAÇÃO DE SERVIÇOS - ODONTOLÓGICOS;0.0;0.0;1T;2023
2023-01-01;360783;442129;Despesas com Prestação de Serviços;0.0;0.0;1T;2023
2023-01-01;360783;44212901;Despesas com Prestação de Serviços;0.0;0.0;1T;2023
2023-01-01;360783;442129011;Despesas com Prestação de Serviços - SUS;0.0;0.0;1T;2023
